"date","lieu","adversaire","categorie","resultat","buts_marques","buts_encaisses","clean_sheet","x_g_pour","x_g_contre","tirs_pour","tirs_contre","distance_totale","total_sprints"
2024-08-25,"Extérieur","SM CAEN","U17","Défaite",0,1,0,2.04,3.92,13,16,NA,NA
2024-08-25,"Domicile","SM CAEN","U19","Défaite",2,3,0,2.01,1.64,8,7,NA,NA
2024-09-01,"Extérieur","DUNKERQUE","U19","Victoire",2,0,1,2.8,0.6,16,7,NA,NA
2024-09-29,"Domicile","PARIS FC","U17","Victoire",3,1,0,2.16,1.32,12,6,NA,NA
2024-09-08,"Domicile","O. MARCQUOIS","U19","Victoire",5,1,0,3.18,0.93,17,11,NA,NA
2024-09-08,"Extérieur","LAVAL","U17","Victoire",1,0,1,1.68,1.79,9,13,NA,NA
2024-09-15,"Extérieur","MONTFERMEIL","U19","Défaite",1,2,0,1.66,1.96,12,15,114.12,60
2024-09-15,"Domicile","QRM","U17","Victoire",1,0,1,3.46,1.1,14,8,NA,NA
2024-09-22,"Domicile","MÉZIDON","R1","Nul",1,1,0,3.55,1.09,20,7,103.03,52
2024-09-22,"Domicile","AMIENS","U19","Nul",1,1,0,1.56,1.51,8,14,101.32,68
2024-09-22,"Extérieur","BETHUNE","U17","Nul",0,0,1,3.19,1.34,20,6,NA,NA
2024-09-29,"Domicile","VERSAILLES","U17","Nul",1,1,0,2.95,1.23,17,4,NA,NA
2024-09-28,"Extérieur","QRM","U19","Défaite",0,2,0,0.85,2.25,8,12,106.69,58
2024-10-05,"Extérieur","EQUEURDREVILLE","R1","Victoire",4,1,0,2.61,1.11,14,13,108.41,67
2024-10-06,"Domicile","LENS","U19","Défaite",1,2,0,2.86,2.74,14,13,108.71,77
2024-10-13,"Domicile","FERTOISE","R1","Victoire",3,0,1,1.64,0.22,12,6,104.26,37
2024-10-13,"Domicile","CHAMBLY","U19","Victoire",5,1,0,2.65,1.21,11,12,NA,NA
2024-10-20,"Domicile","BRÉTINGY","U17","Défaite",1,2,0,1.33,1.23,8,9,NA,NA
2024-10-06,"Extérieur","FC ROUEN","U17","Nul",1,1,0,1.05,0.64,8,6,NA,NA
2024-10-13,"Extérieur","PARIS SG","U17","Nul",3,3,0,1.79,2.35,9,17,NA,NA
2024-10-19,"Extérieur","PARIS SG","U19","Défaite",1,2,0,1.73,1.81,17,10,NA,NA
2024-10-19,"Domicile","GONFREVILLE","R1","Défaite",0,2,0,2.41,2.1,16,9,NA,NA
2024-10-27,"Extérieur","AS SAINT ÉTIENNE","Ligue Espoirs","Victoire",1,0,1,2.75,2.22,15,12,NA,NA
2024-11-03,"Extérieur","CARENTAN","R1","Victoire",2,0,1,2.91,1.14,14,5,NA,NA
2024-11-03,"Domicile","VAFC","U19","Nul",0,0,1,0.61,0.67,8,9,107.52,48
2024-11-03,"Extérieur","MANTES","U17","Victoire",3,1,0,5.04,2.16,21,11,NA,NA
2024-11-10,"Domicile","DRANCY","U17","Nul",0,0,1,1.53,1.27,9,6,NA,NA
2024-11-10,"Extérieur","RACING","U19","Victoire",1,0,1,1.08,1.09,7,13,NA,NA
2024-11-09,"Domicile","DEAUVILLE","R1","Nul",2,2,0,1.91,2.42,14,10,103.28,57
2024-11-16,"Domicile","LOSC","U19","Nul",2,2,0,1.19,3.18,12,18,NA,NA
2024-11-17,"Extérieur","LE MANS","U17","Victoire",3,2,0,2.65,1.89,13,10,NA,NA
2024-11-17,"Domicile","SAINT LO","R1","Nul",3,3,0,4.4,2.36,24,10,107.68,77
2024-11-24,"Extérieur","ORLÉANS","U19","Défaite",0,2,0,2.03,0.72,17,7,NA,NA
2024-11-23,"Domicile","ORLÉANS","U17","Nul",0,0,1,1.61,1.46,13,11,NA,NA
